n = 253, k = 35, d = 91, CR = 0.13833992, H_in_req = 0.22841962, efficiency = 0.60562210 
n = 254, k = 35, d = 92, CR = 0.13779528, H_in_req = 0.22616621, efficiency = 0.60924813 
n = 243, k = 33, d = 88, CR = 0.13580247, H_in_req = 0.22606243, efficiency = 0.60071174 
n = 252, k = 34, d = 91, CR = 0.13492063, H_in_req = 0.22385754, efficiency = 0.60268985 
n = 253, k = 34, d = 92, CR = 0.13438735, H_in_req = 0.22164389, efficiency = 0.60630322 
n = 242, k = 32, d = 88, CR = 0.13223140, H_in_req = 0.22133360, efficiency = 0.59741168 
n = 251, k = 33, d = 91, CR = 0.13147410, H_in_req = 0.21927513, efficiency = 0.59956696 
n = 511, k = 67, d = 175, CR = 0.13111546, H_in_req = 0.20448775, efficiency = 0.64118024 
n = 255, k = 32, d = 96, CR = 0.12549020, H_in_req = 0.20441282, efficiency = 0.61388655 
n = 252, k = 31, d = 94, CR = 0.12301587, H_in_req = 0.20389542, efficiency = 0.60330883 
n = 253, k = 31, d = 95, CR = 0.12252964, H_in_req = 0.20192298, efficiency = 0.60679420 
n = 254, k = 31, d = 96, CR = 0.12204724, H_in_req = 0.19998809, efficiency = 0.61025288 
n = 251, k = 30, d = 94, CR = 0.11952191, H_in_req = 0.19937416, efficiency = 0.59946552 
n = 252, k = 30, d = 95, CR = 0.11904762, H_in_req = 0.19744112, efficiency = 0.60293242 
n = 253, k = 30, d = 96, CR = 0.11857708, H_in_req = 0.19554499, efficiency = 0.60637262 
n = 250, k = 29, d = 94, CR = 0.11600000, H_in_req = 0.19483371, efficiency = 0.59535900 
n = 251, k = 29, d = 95, CR = 0.11553785, H_in_req = 0.19294048, efficiency = 0.59880575 
n = 252, k = 29, d = 96, CR = 0.11507937, H_in_req = 0.19108347, efficiency = 0.60222582 
n = 511, k = 58, d = 183, CR = 0.11350294, H_in_req = 0.17503833, efficiency = 0.64843500 
n = 255, k = 26, d = 98, CR = 0.10196078, H_in_req = 0.17421225, efficiency = 0.58524511 
n = 248, k = 25, d = 96, CR = 0.10080645, H_in_req = 0.17305297, efficiency = 0.58249462 
n = 241, k = 24, d = 94, CR = 0.09958506, H_in_req = 0.17184307, efficiency = 0.57948752 
n = 252, k = 25, d = 97, CR = 0.09920635, H_in_req = 0.17138879, efficiency = 0.57881490 
n = 253, k = 25, d = 98, CR = 0.09881423, H_in_req = 0.16975617, efficiency = 0.58207181 
n = 254, k = 25, d = 99, CR = 0.09842520, H_in_req = 0.16815422, efficiency = 0.58530354 
n = 255, k = 25, d = 100, CR = 0.09803922, H_in_req = 0.16658210, efficiency = 0.58851038 
n = 511, k = 49, d = 187, CR = 0.09589041, H_in_req = 0.15032273, efficiency = 0.63788397 
n = 235, k = 21, d = 99, CR = 0.08936170, H_in_req = 0.15031014, efficiency = 0.59448718 
n = 236, k = 21, d = 100, CR = 0.08898305, H_in_req = 0.14889332, efficiency = 0.59760111 
n = 237, k = 21, d = 101, CR = 0.08860759, H_in_req = 0.14750289, efficiency = 0.60068912 
n = 238, k = 21, d = 102, CR = 0.08823529, H_in_req = 0.14613809, efficiency = 0.60375152 
n = 239, k = 21, d = 103, CR = 0.08786611, H_in_req = 0.14479825, efficiency = 0.60678862 
n = 240, k = 21, d = 104, CR = 0.08750000, H_in_req = 0.14348267, efficiency = 0.60980073 
n = 236, k = 20, d = 101, CR = 0.08474576, H_in_req = 0.14307692, efficiency = 0.59227953 
n = 248, k = 21, d = 105, CR = 0.08467742, H_in_req = 0.14219071, efficiency = 0.59549171 
n = 237, k = 20, d = 102, CR = 0.08438819, H_in_req = 0.14175046, efficiency = 0.59529943 
n = 249, k = 21, d = 106, CR = 0.08433735, H_in_req = 0.14092175, efficiency = 0.59844090 
n = 238, k = 20, d = 103, CR = 0.08403361, H_in_req = 0.14044830, efficiency = 0.59829426 
n = 239, k = 20, d = 104, CR = 0.08368201, H_in_req = 0.13916978, efficiency = 0.60126433 
n = 252, k = 21, d = 108, CR = 0.08333333, H_in_req = 0.13845038, efficiency = 0.60187171 
n = 253, k = 21, d = 109, CR = 0.08300395, H_in_req = 0.13724683, efficiency = 0.60474986 
n = 254, k = 21, d = 110, CR = 0.08267717, H_in_req = 0.13606397, efficiency = 0.60760560 
n = 255, k = 21, d = 111, CR = 0.08235294, H_in_req = 0.13490127, efficiency = 0.61043919 
n = 256, k = 21, d = 112, CR = 0.08203125, H_in_req = 0.13375822, efficiency = 0.61325087 
n = 252, k = 20, d = 109, CR = 0.07936508, H_in_req = 0.13311027, efficiency = 0.59620578 
n = 253, k = 20, d = 110, CR = 0.07905138, H_in_req = 0.13196098, efficiency = 0.59902125 
n = 254, k = 20, d = 111, CR = 0.07874016, H_in_req = 0.13083132, efficiency = 0.60181478 
n = 255, k = 20, d = 112, CR = 0.07843137, H_in_req = 0.12972079, efficiency = 0.60458662 
n = 511, k = 40, d = 191, CR = 0.07827789, H_in_req = 0.12613635, efficiency = 0.62056603 
n = 254, k = 19, d = 112, CR = 0.07480315, H_in_req = 0.12566967, efficiency = 0.59520501 
n = 249, k = 18, d = 109, CR = 0.07228916, H_in_req = 0.12479380, efficiency = 0.57923666 
n = 250, k = 18, d = 110, CR = 0.07200000, H_in_req = 0.12371243, efficiency = 0.58196256 
n = 252, k = 18, d = 111, CR = 0.07142857, H_in_req = 0.12264960, efficiency = 0.58234682 
n = 253, k = 18, d = 112, CR = 0.07114625, H_in_req = 0.12160484, efficiency = 0.58502848 
n = 248, k = 17, d = 109, CR = 0.06854839, H_in_req = 0.12061387, efficiency = 0.56829583 
n = 249, k = 17, d = 110, CR = 0.06827309, H_in_req = 0.11956685, efficiency = 0.57096996 
n = 251, k = 17, d = 111, CR = 0.06772908, H_in_req = 0.11853782, efficiency = 0.57133752 
n = 252, k = 17, d = 112, CR = 0.06746032, H_in_req = 0.11752631, efficiency = 0.57396809 
n = 244, k = 16, d = 108, CR = 0.06557377, H_in_req = 0.11744975, efficiency = 0.55827853 
n = 246, k = 16, d = 109, CR = 0.06504065, H_in_req = 0.11641946, efficiency = 0.55864018 
n = 247, k = 16, d = 110, CR = 0.06477733, H_in_req = 0.11540705, efficiency = 0.56125931 
n = 249, k = 16, d = 111, CR = 0.06425703, H_in_req = 0.11441207, efficiency = 0.56159298 
n = 250, k = 16, d = 112, CR = 0.06400000, H_in_req = 0.11343406, efficiency = 0.56416918 
n = 256, k = 16, d = 113, CR = 0.06250000, H_in_req = 0.11247261, efficiency = 0.55565615 
n = 245, k = 15, d = 109, CR = 0.06122449, H_in_req = 0.11221057, efficiency = 0.54558506 
n = 246, k = 15, d = 110, CR = 0.06097561, H_in_req = 0.11123303, efficiency = 0.54814245 
n = 511, k = 31, d = 219, CR = 0.06066536, H_in_req = 0.09162709, efficiency = 0.66206845 
n = 511, k = 28, d = 223, CR = 0.05479452, H_in_req = 0.08372933, efficiency = 0.65440110 
n = 248, k = 10, d = 119, CR = 0.04032258, H_in_req = 0.08354120, efficiency = 0.48261877 
n = 249, k = 10, d = 120, CR = 0.04016064, H_in_req = 0.08286622, efficiency = 0.48459588 
n = 252, k = 10, d = 121, CR = 0.03968254, H_in_req = 0.08220205, efficiency = 0.48269565 
n = 253, k = 10, d = 122, CR = 0.03952569, H_in_req = 0.08154844, efficiency = 0.48464131 
n = 255, k = 10, d = 123, CR = 0.03921569, H_in_req = 0.08090513, efficiency = 0.48466357 
n = 256, k = 10, d = 124, CR = 0.03906250, H_in_req = 0.08027187, efficiency = 0.48657885 
n = 242, k = 9, d = 118, CR = 0.03719008, H_in_req = 0.08023851, efficiency = 0.46344273 
n = 511, k = 19, d = 239, CR = 0.03718200, H_in_req = 0.06038394, efficiency = 0.61572728 
n = 245, k = 5, d = 126, CR = 0.02040816, H_in_req = 0.06017457, efficiency = 0.33908150 
n = 247, k = 5, d = 127, CR = 0.02024291, H_in_req = 0.05971098, efficiency = 0.33894718 
n = 248, k = 5, d = 128, CR = 0.02016129, H_in_req = 0.05925448, efficiency = 0.34018122 
n = 253, k = 5, d = 129, CR = 0.01976285, H_in_req = 0.05880489, efficiency = 0.33600766 
n = 254, k = 5, d = 130, CR = 0.01968504, H_in_req = 0.05836208, efficiency = 0.33722416 
n = 511, k = 10, d = 243, CR = 0.01956947, H_in_req = 0.04155264, efficiency = 0.47090911 
n = 512, k = 10, d = 256, CR = 0.01953125, H_in_req = 0.03947224, efficiency = 0.49476035 
n = 236, k = 2, d = 157, CR = 0.00847458, H_in_req = 0.03924133, efficiency = 0.21585250 
n = 237, k = 2, d = 158, CR = 0.00843882, H_in_req = 0.03899642, efficiency = 0.21629165 
n = 239, k = 2, d = 159, CR = 0.00836820, H_in_req = 0.03875455, efficiency = 0.21582030 
n = 240, k = 2, d = 160, CR = 0.00833333, H_in_req = 0.03851565, efficiency = 0.21625410 
n = 242, k = 2, d = 161, CR = 0.00826446, H_in_req = 0.03827968, efficiency = 0.21578892 
n = 243, k = 2, d = 162, CR = 0.00823045, H_in_req = 0.03804659, efficiency = 0.21621750 
n = 245, k = 2, d = 163, CR = 0.00816327, H_in_req = 0.03781632, efficiency = 0.21575832 
n = 246, k = 2, d = 164, CR = 0.00813008, H_in_req = 0.03758881, efficiency = 0.21618180 
n = 248, k = 2, d = 165, CR = 0.00806452, H_in_req = 0.03736403, efficiency = 0.21572847 
n = 249, k = 2, d = 166, CR = 0.00803213, H_in_req = 0.03714192, efficiency = 0.21614698 
n = 251, k = 2, d = 167, CR = 0.00796813, H_in_req = 0.03692243, efficiency = 0.21569934 
n = 252, k = 2, d = 168, CR = 0.00793651, H_in_req = 0.03670553, efficiency = 0.21611299 
n = 254, k = 2, d = 169, CR = 0.00787402, H_in_req = 0.03649115, efficiency = 0.21567091 
n = 255, k = 2, d = 170, CR = 0.00784314, H_in_req = 0.03627927, efficiency = 0.21607981 
n = 157, k = 1, d = 157, CR = 0.00636943, H_in_req = 0.03614092, efficiency = 0.17606242 
n = 158, k = 1, d = 158, CR = 0.00632911, H_in_req = 0.03591510, efficiency = 0.17604811 
n = 159, k = 1, d = 159, CR = 0.00628931, H_in_req = 0.03569209, efficiency = 0.17603398 
n = 160, k = 1, d = 160, CR = 0.00625000, H_in_req = 0.03547182, efficiency = 0.17602003 
n = 161, k = 1, d = 161, CR = 0.00621118, H_in_req = 0.03525426, efficiency = 0.17600625 
n = 162, k = 1, d = 162, CR = 0.00617284, H_in_req = 0.03503935, efficiency = 0.17599265 
n = 163, k = 1, d = 163, CR = 0.00613497, H_in_req = 0.03482704, efficiency = 0.17597921 
n = 164, k = 1, d = 164, CR = 0.00609756, H_in_req = 0.03461729, efficiency = 0.17596594 
