n = 63, k = 17, d = 22, CR = 0.2698412698412698, H_in_req = 0.424956, efficiency = 0.63495032, area = 133.39 GEs 
n = 63, k = 18, d = 21, CR = 0.2857142857142857, H_in_req = 0.440939, efficiency = 0.64793260, area = 142.06 GEs 
n = 63, k = 35, d = 12, CR = 0.5555555555555556, H_in_req = 0.710525, efficiency = 0.78187312, area = 269.45 GEs 
n = 63, k = 36, d = 11, CR = 0.5714285714285714, H_in_req = 0.726106, efficiency = 0.78695527, area = 282.12 GEs 
n = 63, k = 45, d = 8, CR = 0.7142857142857143, H_in_req = 0.856131, efficiency = 0.83430033, area = 356.15 GEs 
n = 63, k = 46, d = 7, CR = 0.7301587301587301, H_in_req = 0.870842, efficiency = 0.83843323, area = 356.82 GEs 
n = 64, k = 1, d = 64, CR = 0.015625, H_in_req = 0.079657, efficiency = 0.19595834, area = 8.67 GEs 
n = 65, k = 1, d = 65, CR = 0.015384615384615385, H_in_req = 0.078467, efficiency = 0.19587018, area = 8.67 GEs 
n = 65, k = 12, d = 26, CR = 0.18461538461538463, H_in_req = 0.332645, efficiency = 0.55494606, area = 92.04 GEs 
n = 65, k = 13, d = 25, CR = 0.2, H_in_req = 0.347978, efficiency = 0.57470576, area = 96.71 GEs 
n = 65, k = 40, d = 10, CR = 0.6153846153846154, H_in_req = 0.766477, efficiency = 0.80285477, area = 294.80 GEs 
n = 65, k = 52, d = 6, CR = 0.8, H_in_req = 0.923186, efficiency = 0.86654799, area = 398.84 GEs 
n = 65, k = 53, d = 5, CR = 0.8153846153846154, H_in_req = 0.936326, efficiency = 0.87081787, area = 403.51 GEs 
n = 66, k = 1, d = 66, CR = 0.015151515151515152, H_in_req = 0.077312, efficiency = 0.19578528, area = 8.67 GEs 
n = 67, k = 1, d = 67, CR = 0.014925373134328358, H_in_req = 0.07619, efficiency = 0.19570240, area = 8.67 GEs 
n = 68, k = 1, d = 68, CR = 0.014705882352941176, H_in_req = 0.0751, efficiency = 0.19562229, area = 8.67 GEs 
n = 69, k = 1, d = 69, CR = 0.014492753623188406, H_in_req = 0.074041, efficiency = 0.19554444, area = 8.67 GEs 
n = 70, k = 1, d = 70, CR = 0.014285714285714285, H_in_req = 0.073012, efficiency = 0.19546914, area = 8.67 GEs 
n = 71, k = 1, d = 71, CR = 0.014084507042253521, H_in_req = 0.07201, efficiency = 0.19539593, area = 8.67 GEs 
n = 72, k = 1, d = 72, CR = 0.013888888888888888, H_in_req = 0.071036, efficiency = 0.19532453, area = 8.67 GEs 
n = 73, k = 1, d = 73, CR = 0.0136986301369863, H_in_req = 0.070088, efficiency = 0.19525514, area = 8.67 GEs 
n = 73, k = 27, d = 20, CR = 0.3698630136986301, H_in_req = 0.509687, efficiency = 0.72564049, area = 216.09 GEs 
n = 74, k = 1, d = 74, CR = 0.013513513513513514, H_in_req = 0.069165, efficiency = 0.19518814, area = 8.67 GEs 
n = 75, k = 1, d = 75, CR = 0.013333333333333334, H_in_req = 0.068265, efficiency = 0.19512274, area = 8.67 GEs 
n = 76, k = 1, d = 76, CR = 0.013157894736842105, H_in_req = 0.067389, efficiency = 0.19505895, area = 8.67 GEs 
n = 77, k = 1, d = 77, CR = 0.012987012987012988, H_in_req = 0.066535, efficiency = 0.19499692, area = 8.67 GEs 
n = 78, k = 1, d = 78, CR = 0.01282051282051282, H_in_req = 0.065702, efficiency = 0.19493623, area = 8.67 GEs 
n = 79, k = 1, d = 79, CR = 0.012658227848101266, H_in_req = 0.06489, efficiency = 0.19487765, area = 8.67 GEs 
n = 79, k = 40, d = 15, CR = 0.5063291139240507, H_in_req = 0.636739, efficiency = 0.79517139, area = 304.80 GEs 
n = 80, k = 1, d = 80, CR = 0.0125, H_in_req = 0.064098, efficiency = 0.19482032, area = 8.67 GEs 
n = 81, k = 1, d = 81, CR = 0.012345679012345678, H_in_req = 0.063325, efficiency = 0.19476416, area = 8.67 GEs 
n = 82, k = 1, d = 82, CR = 0.012195121951219513, H_in_req = 0.06257, efficiency = 0.19470995, area = 8.67 GEs 
n = 83, k = 1, d = 83, CR = 0.012048192771084338, H_in_req = 0.061833, efficiency = 0.19465673, area = 8.67 GEs 
n = 84, k = 1, d = 84, CR = 0.011904761904761904, H_in_req = 0.061113, efficiency = 0.19460476, area = 8.67 GEs 
n = 85, k = 1, d = 85, CR = 0.011764705882352941, H_in_req = 0.06041, efficiency = 0.19455437, area = 8.67 GEs 
n = 86, k = 1, d = 86, CR = 0.011627906976744186, H_in_req = 0.059723, efficiency = 0.19450487, area = 8.67 GEs 
n = 87, k = 1, d = 87, CR = 0.011494252873563218, H_in_req = 0.059051, efficiency = 0.19445678, area = 8.67 GEs 
n = 87, k = 31, d = 22, CR = 0.3563218390804598, H_in_req = 0.487396, efficiency = 0.73104933, area = 244.77 GEs 
n = 88, k = 1, d = 88, CR = 0.011363636363636364, H_in_req = 0.058394, efficiency = 0.19440955, area = 8.67 GEs 
n = 89, k = 1, d = 89, CR = 0.011235955056179775, H_in_req = 0.057752, efficiency = 0.19436347, area = 8.67 GEs 
n = 89, k = 11, d = 40, CR = 0.12359550561797752, H_in_req = 0.233728, efficiency = 0.52875376, area = 89.37 GEs 
n = 89, k = 23, d = 28, CR = 0.25842696629213485, H_in_req = 0.374391, efficiency = 0.69023116, area = 179.41 GEs 
n = 89, k = 55, d = 12, CR = 0.6179775280898876, H_in_req = 0.734089, efficiency = 0.84181479, area = 422.85 GEs 
n = 89, k = 56, d = 11, CR = 0.6292134831460674, H_in_req = 0.745334, efficiency = 0.84418841, area = 435.52 GEs 
n = 90, k = 1, d = 90, CR = 0.011111111111111112, H_in_req = 0.057123, efficiency = 0.19431852, area = 8.67 GEs 
n = 91, k = 1, d = 91, CR = 0.01098901098901099, H_in_req = 0.056508, efficiency = 0.19427437, area = 8.67 GEs 
n = 92, k = 1, d = 92, CR = 0.010869565217391304, H_in_req = 0.055906, efficiency = 0.19423153, area = 8.67 GEs 
n = 93, k = 1, d = 93, CR = 0.010752688172043012, H_in_req = 0.055317, efficiency = 0.19418937, area = 8.67 GEs 
n = 93, k = 23, d = 29, CR = 0.24731182795698925, H_in_req = 0.358542, efficiency = 0.68974095, area = 179.41 GEs 
n = 94, k = 1, d = 94, CR = 0.010638297872340425, H_in_req = 0.05474, efficiency = 0.19414814, area = 8.67 GEs 
n = 95, k = 1, d = 95, CR = 0.010526315789473684, H_in_req = 0.054175, efficiency = 0.19410815, area = 8.67 GEs 
n = 96, k = 1, d = 96, CR = 0.010416666666666666, H_in_req = 0.053622, efficiency = 0.19406850, area = 8.67 GEs 
n = 97, k = 1, d = 97, CR = 0.010309278350515464, H_in_req = 0.05308, efficiency = 0.19403005, area = 8.67 GEs 
n = 98, k = 1, d = 98, CR = 0.01020408163265306, H_in_req = 0.052548, efficiency = 0.19399199, area = 8.67 GEs 
n = 99, k = 1, d = 99, CR = 0.010101010101010102, H_in_req = 0.052027, efficiency = 0.19395529, area = 8.67 GEs 
n = 100, k = 1, d = 100, CR = 0.01, H_in_req = 0.051517, efficiency = 0.19391878, area = 8.67 GEs 
n = 101, k = 1, d = 101, CR = 0.009900990099009901, H_in_req = 0.051016, efficiency = 0.19388356, area = 8.67 GEs 
n = 102, k = 1, d = 102, CR = 0.00980392156862745, H_in_req = 0.050525, efficiency = 0.19384853, area = 8.67 GEs 
n = 103, k = 1, d = 103, CR = 0.009708737864077669, H_in_req = 0.050043, efficiency = 0.19381442, area = 8.67 GEs 
n = 103, k = 52, d = 19, CR = 0.5048543689320388, H_in_req = 0.606164, efficiency = 0.83285163, area = 392.84 GEs 
n = 104, k = 1, d = 104, CR = 0.009615384615384616, H_in_req = 0.049571, efficiency = 0.19378112, area = 8.67 GEs 
n = 105, k = 1, d = 105, CR = 0.009523809523809525, H_in_req = 0.049107, efficiency = 0.19374808, area = 8.67 GEs 
n = 106, k = 1, d = 106, CR = 0.009433962264150943, H_in_req = 0.048652, efficiency = 0.19371618, area = 8.67 GEs 
n = 107, k = 1, d = 107, CR = 0.009345794392523364, H_in_req = 0.048205, efficiency = 0.19368449, area = 8.67 GEs 
n = 108, k = 1, d = 108, CR = 0.009259259259259259, H_in_req = 0.047766, efficiency = 0.19365348, area = 8.67 GEs 
n = 109, k = 1, d = 109, CR = 0.009174311926605505, H_in_req = 0.047335, efficiency = 0.19362322, area = 8.67 GEs 
n = 110, k = 1, d = 110, CR = 0.00909090909090909, H_in_req = 0.046912, efficiency = 0.19359332, area = 8.67 GEs 
n = 111, k = 1, d = 111, CR = 0.009009009009009009, H_in_req = 0.046497, efficiency = 0.19356391, area = 8.67 GEs 
n = 112, k = 1, d = 112, CR = 0.008928571428571428, H_in_req = 0.046088, efficiency = 0.19353512, area = 8.67 GEs 
n = 113, k = 1, d = 113, CR = 0.008849557522123894, H_in_req = 0.045687, efficiency = 0.19350666, area = 8.67 GEs 
n = 114, k = 1, d = 114, CR = 0.008771929824561403, H_in_req = 0.045293, efficiency = 0.19347924, area = 8.67 GEs 
n = 115, k = 1, d = 115, CR = 0.008695652173913044, H_in_req = 0.044905, efficiency = 0.19345210, area = 8.67 GEs 
n = 116, k = 1, d = 116, CR = 0.008620689655172414, H_in_req = 0.044525, efficiency = 0.19342500, area = 8.67 GEs 
n = 117, k = 1, d = 117, CR = 0.008547008547008548, H_in_req = 0.04415, efficiency = 0.19339875, area = 8.67 GEs 
n = 118, k = 1, d = 118, CR = 0.00847457627118644, H_in_req = 0.043782, efficiency = 0.19337316, area = 8.67 GEs 
n = 119, k = 1, d = 119, CR = 0.008403361344537815, H_in_req = 0.04342, efficiency = 0.19334755, area = 8.67 GEs 
n = 120, k = 1, d = 120, CR = 0.008333333333333333, H_in_req = 0.043063, efficiency = 0.19332229, area = 8.67 GEs 
n = 121, k = 1, d = 121, CR = 0.008264462809917356, H_in_req = 0.042713, efficiency = 0.19329777, area = 8.67 GEs 
n = 122, k = 1, d = 122, CR = 0.00819672131147541, H_in_req = 0.042368, efficiency = 0.19327392, area = 8.67 GEs 
n = 123, k = 1, d = 123, CR = 0.008130081300813009, H_in_req = 0.042029, efficiency = 0.19325009, area = 8.67 GEs 
n = 124, k = 1, d = 124, CR = 0.008064516129032258, H_in_req = 0.041695, efficiency = 0.19322677, area = 8.67 GEs 
n = 125, k = 1, d = 125, CR = 0.008, H_in_req = 0.041366, efficiency = 0.19320363, area = 8.67 GEs 
n = 126, k = 1, d = 126, CR = 0.007936507936507936, H_in_req = 0.041043, efficiency = 0.19318092, area = 8.67 GEs 
n = 127, k = 1, d = 127, CR = 0.007874015748031496, H_in_req = 0.040724, efficiency = 0.19315891, area = 8.67 GEs 
n = 127, k = 14, d = 56, CR = 0.11023622047244094, H_in_req = 0.1901, efficiency = 0.57984633, area = 109.38 GEs 
